last_record,Start_Date,End_Date,Current_Date,Current_Month,Group,Year,Month,HHS Region,State,Place of Death,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/27/2023,1/1/2020,1/31/2020,31-Jan-20,January 2020,By Month,2020,1,0,United States,Total - All Places of Death,All Ages,6,264681,17909,3,2125,20037,
9/27/2023,1/1/2020,1/31/2020,31-Jan-20,January 2020,By Month,2020,1,0,United States,Total - All Places of Death,0-17 years,0,2966,90,0,63,153,
9/27/2023,1/1/2020,1/31/2020,31-Jan-20,January 2020,By Month,2020,1,0,United States,Total - All Places of Death,18-29 years,0,4425,114,0,54,168,
9/27/2023,1/1/2020,1/31/2020,31-Jan-20,January 2020,By Month,2020,1,0,United States,Total - All Places of Death,30-39 years,0,6474,246,0,112,358,
9/27/2023,1/1/2020,1/31/2020,31-Jan-20,January 2020,By Month,2020,1,0,United States,Total - All Places of Death,40-49 years,0,9792,485,0,151,636,
9/27/2023,1/1/2020,1/31/2020,31-Jan-20,January 2020,By Month,2020,1,0,United States,Total - All Places of Death,50-64 years,2,43007,2572,0,523,3097,
9/27/2023,1/1/2020,1/31/2020,31-Jan-20,January 2020,By Month,2020,1,0,United States,Total - All Places of Death,65-74 years,2,52551,3670,1,405,4076,
9/27/2023,1/1/2020,1/31/2020,31-Jan-20,January 2020,By Month,2020,1,0,United States,Total - All Places of Death,75-84 years,2,64003,4789,2,384,5173,
9/27/2023,1/1/2020,1/31/2020,31-Jan-20,January 2020,By Month,2020,1,0,United States,Total - All Places of Death,85 years and over,0,81448,5943,0,433,6376,
9/27/2023,2/1/2020,2/29/2020,29-Feb-20,February 2020,By Month,2020,2,0,United States,Total - All Places of Death,All Ages,25,244966,15740,10,2373,18127,
9/27/2023,2/1/2020,2/29/2020,29-Feb-20,February 2020,By Month,2020,2,0,United States,Total - All Places of Death,0-17 years,0,2848,86,0,76,162,
9/27/2023,2/1/2020,2/29/2020,29-Feb-20,February 2020,By Month,2020,2,0,United States,Total - All Places of Death,18-29 years,0,4241,110,0,43,153,
9/27/2023,2/1/2020,2/29/2020,29-Feb-20,February 2020,By Month,2020,2,0,United States,Total - All Places of Death,30-39 years,2,5993,166,1,94,261,
