Geography,date_fmt,Date,Cumulative Deaths,date_str,date_value,current_date,,,,
United States,"Jan 11, 2020",Jan 11 2020,1,"Jan 11, 2020",1/11/2020,"January 11, 2020",,,,
United States,"Jan 18, 2020",Jan 18 2020,3,"Jan 18, 2020",1/18/2020,"January 18, 2020",,,,
United States,"Jan 25, 2020",Jan 25 2020,6,"Jan 25, 2020",1/25/2020,"January 25, 2020",,,,
United States,"Feb  1, 2020",Feb  1 2020,6,"Feb 01, 2020",2/1/2020,"February 1, 2020",,,,
United States,"Feb  8, 2020",Feb  8 2020,10,"Feb 08, 2020",2/8/2020,"February 8, 2020",,,,
United States,"Feb 15, 2020",Feb 15 2020,16,"Feb 15, 2020",2/15/2020,"February 15, 2020",,,,
United States,"Feb 22, 2020",Feb 22 2020,22,"Feb 22, 2020",2/22/2020,"February 22, 2020",,,,
United States,"Feb 29, 2020",Feb 29 2020,31,"Feb 29, 2020",2/29/2020,"February 29, 2020",,,,
United States,"Mar  7, 2020",Mar  7 2020,69,"Mar 07, 2020",3/7/2020,"March 7, 2020",,,,
United States,"Mar 14, 2020",Mar 14 2020,129,"Mar 14, 2020",3/14/2020,"March 14, 2020",,,,
United States,"Mar 21, 2020",Mar 21 2020,715,"Mar 21, 2020",3/21/2020,"March 21, 2020",,,,
United States,"Mar 28, 2020",Mar 28 2020,3926,"Mar 28, 2020",3/28/2020,"March 28, 2020",,,,
United States,"Apr  4, 2020",Apr  4 2020,14039,"Apr 04, 2020",4/4/2020,"April 4, 2020",,,,
United States,"Apr 11, 2020",Apr 11 2020,30345,"Apr 11, 2020",4/11/2020,"April 11, 2020",,,,
United States,"Apr 18, 2020",Apr 18 2020,47546,"Apr 18, 2020",4/18/2020,"April 18, 2020",,,,
United States,"Apr 25, 2020",Apr 25 2020,63071,"Apr 25, 2020",4/25/2020,"April 25, 2020",,,,
United States,"May  2, 2020",May  2 2020,76271,"May 02, 2020",5/2/2020,"May 2, 2020",,,,
United States,"May  9, 2020",May  9 2020,87494,"May 09, 2020",5/9/2020,"May 9, 2020",,,,
United States,"May 16, 2020",May 16 2020,96723,"May 16, 2020",5/16/2020,"May 16, 2020",,,,
United States,"May 23, 2020",May 23 2020,103952,"May 23, 2020",5/23/2020,"May 23, 2020",,,,
United States,"May 30, 2020",May 30 2020,110112,"May 30, 2020",5/30/2020,"May 30, 2020",,,,
United States,"Jun  6, 2020",Jun  6 2020,115158,"Jun 06, 2020",6/6/2020,"June 6, 2020",,,,
United States,"Jun 13, 2020",Jun 13 2020,119385,"Jun 13, 2020",6/13/2020,"June 13, 2020",,,,
United States,"Jun 20, 2020",Jun 20 2020,123229,"Jun 20, 2020",6/20/2020,"June 20, 2020",,,,
United States,"Jun 27, 2020",Jun 27 2020,127064,"Jun 27, 2020",6/27/2020,"June 27, 2020",,,,
United States,"Jul  4, 2020",Jul  4 2020,131604,"Jul 04, 2020",7/4/2020,"July 4, 2020",,,,
United States,"Jul 11, 2020",Jul 11 2020,137374,"Jul 11, 2020",7/11/2020,"July 11, 2020",,,,
United States,"Jul 18, 2020",Jul 18 2020,144540,"Jul 18, 2020",7/18/2020,"July 18, 2020",,,,
United States,"Jul 25, 2020",Jul 25 2020,152769,"Jul 25, 2020",7/25/2020,"July 25, 2020",,,,
United States,"Aug  1, 2020",Aug  1 2020,161054,"Aug 01, 2020",8/1/2020,"August 1, 2020",,,,
