Geography,Date,Weekly Deaths
United States,1/11/2020,1
United States,1/18/2020,2
United States,1/25/2020,3
United States,2/1/2020,0
United States,2/8/2020,4
United States,2/15/2020,6
United States,2/22/2020,6
United States,2/29/2020,9
United States,3/7/2020,38
United States,3/14/2020,60
United States,3/21/2020,586
United States,3/28/2020,3211
United States,4/4/2020,10113
United States,4/11/2020,16306
United States,4/18/2020,17201
United States,4/25/2020,15525
United States,5/2/2020,13200
United States,5/9/2020,11223
United States,5/16/2020,9229
United States,5/23/2020,7229
United States,5/30/2020,6160
United States,6/6/2020,5046
United States,6/13/2020,4227
United States,6/20/2020,3844
United States,6/27/2020,3835
United States,7/4/2020,4540
United States,7/11/2020,5770
United States,7/18/2020,7166
United States,7/25/2020,8229
United States,8/1/2020,8285
United States,8/8/2020,7848
United States,8/15/2020,7248
United States,8/22/2020,6374
United States,8/29/2020,5739
United States,9/5/2020,5010
United States,9/12/2020,4618
United States,9/19/2020,4273
United States,9/26/2020,4296
United States,10/3/2020,4240
United States,10/10/2020,4813
United States,10/17/2020,5195
United States,10/24/2020,5990
United States,10/31/2020,7019
United States,11/7/2020,8754
United States,11/14/2020,10644
United States,11/21/2020,13343
United States,11/28/2020,15615
United States,12/5/2020,18545
United States,12/12/2020,20913
United States,12/19/2020,22314
United States,12/26/2020,23364
United States,1/2/2021,24845
United States,1/9/2021,25974
United States,1/16/2021,25692
United States,1/23/2021,23687
United States,1/30/2021,20322
United States,2/6/2021,17034
United States,2/13/2021,13519
United States,2/20/2021,10807
United States,2/27/2021,8654
United States,3/6/2021,6731
United States,3/13/2021,5725
United States,3/20/2021,4893
United States,3/27/2021,4461
United States,4/3/2021,4197
United States,4/10/2021,4313
United States,4/17/2021,4450
United States,4/24/2021,4601
United States,5/1/2021,4165
United States,5/8/2021,4006
United States,5/15/2021,3678
United States,5/22/2021,3238
United States,5/29/2021,2770
United States,6/5/2021,2347
United States,6/12/2021,2035
United States,6/19/2021,1776
United States,6/26/2021,1635
United States,7/3/2021,1543
United States,7/10/2021,1645
United States,7/17/2021,1991
United States,7/24/2021,2760
United States,7/31/2021,4105
United States,8/7/2021,6484
United States,8/14/2021,9406
United States,8/21/2021,12181
United States,8/28/2021,14174
United States,9/4/2021,15493
United States,9/11/2021,15417
United States,9/18/2021,15211
United States,9/25/2021,14347
United States,10/2/2021,12830
United States,10/9/2021,11180
United States,10/16/2021,9878
United States,10/23/2021,8941
United States,10/30/2021,7960
United States,11/6/2021,7287
United States,11/13/2021,7159
United States,11/20/2021,7310
United States,11/27/2021,7886
United States,12/4/2021,8781
United States,12/11/2021,9734
United States,12/18/2021,10250
United States,12/25/2021,10458
United States,1/1/2022,11677
United States,1/8/2022,15125
United States,1/15/2022,19078
United States,1/22/2022,21335
United States,1/29/2022,20966
United States,2/5/2022,18756
United States,2/12/2022,15317
United States,2/19/2022,11566
United States,2/26/2022,8290
United States,3/5/2022,6041
United States,3/12/2022,4404
United States,3/19/2022,3125
United States,3/26/2022,2505
United States,4/2/2022,1908
United States,4/9/2022,1552
United States,4/16/2022,1410
United States,4/23/2022,1345
United States,4/30/2022,1426
United States,5/7/2022,1433
United States,5/14/2022,1676
United States,5/21/2022,1742
United States,5/28/2022,1940
United States,6/4/2022,2007
United States,6/11/2022,2139
United States,6/18/2022,2194
United States,6/25/2022,2329
United States,7/2/2022,2420
United States,7/9/2022,2588
United States,7/16/2022,2929
United States,7/23/2022,3226
United States,7/30/2022,3401
United States,8/6/2022,3372
United States,8/13/2022,3284
United States,8/20/2022,3166
United States,8/27/2022,3050
United States,9/3/2022,2926
United States,9/10/2022,2808
United States,9/17/2022,2513
United States,9/24/2022,2546
United States,10/1/2022,2377
United States,10/8/2022,2194
United States,10/15/2022,2147
United States,10/22/2022,2198
United States,10/29/2022,2242
United States,11/5/2022,2248
United States,11/12/2022,2201
United States,11/19/2022,2256
United States,11/26/2022,2497
United States,12/3/2022,2593
United States,12/10/2022,3036
United States,12/17/2022,3187
United States,12/24/2022,3319
United States,12/31/2022,3659
United States,1/7/2023,3870
United States,1/14/2023,3688
United States,1/21/2023,3257
United States,1/28/2023,2914
United States,2/4/2023,2643
United States,2/11/2023,2347
United States,2/18/2023,2101
United States,2/25/2023,2153
United States,3/4/2023,1998
United States,3/11/2023,1847
United States,3/18/2023,1761
United States,3/25/2023,1668
United States,4/1/2023,1449
United States,4/8/2023,1373
United States,4/15/2023,1217
United States,4/22/2023,1196
United States,4/29/2023,1027
United States,5/6/2023,945
United States,5/13/2023,838
United States,5/20/2023,757
United States,5/27/2023,742
United States,6/3/2023,693
United States,6/10/2023,633
United States,6/17/2023,612
United States,6/24/2023,583
United States,7/1/2023,542
United States,7/8/2023,492
United States,7/15/2023,510
United States,7/22/2023,540
United States,7/29/2023,553
United States,8/5/2023,672
United States,8/12/2023,752
United States,8/19/2023,921
United States,8/26/2023,1067
United States,9/2/2023,1188
