date_updated,state,start_date,month,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths,state_full,region,abbreviaton_map,states_map,Region_map,region_cumulative_cases,region_new_cases_per_week,region_cumulative_deaths,region_deaths_per_week
1/23/2020,AK,1/16/2020,Jan-20,1/22/2020,0,0,0,0,0,0,Alaska,West,CT,Connecticut,Northeast,0,0,0,0
1/30/2020,AK,1/23/2020,Jan-20,1/29/2020,0,0,0,0,0,0,Alaska,West,ME,Maine,Northeast,1,0,0,0
2/6/2020,AK,1/30/2020,Feb-20,2/5/2020,0,0,0,0,0,0,Alaska,West,MA,Massachusetts,Northeast,4,1,0,0
2/13/2020,AK,2/6/2020,Feb-20,2/12/2020,0,0,0,0,0,0,Alaska,West,NH,New Hampshire,Northeast,10,3,0,0
2/20/2020,AK,2/13/2020,Feb-20,2/19/2020,0,0,0,0,0,0,Alaska,West,NJ,New Jersey,Northeast,18,6,0,0
2/27/2020,AK,2/20/2020,Feb-20,2/26/2020,0,0,0,0,0,0,Alaska,West,NY,New York,Northeast,32,8,0,0
3/5/2020,AK,2/27/2020,Mar-20,3/4/2020,0,0,0,0,0,0,Alaska,West,PA,Pennsylvania,Northeast,54,14,0,0
3/12/2020,AK,3/5/2020,Mar-20,3/11/2020,0,0,0,0,0,0,Alaska,West,RI,Rhode Island,Northeast,130,22,11,11
3/19/2020,AK,3/12/2020,Mar-20,3/18/2020,11,11,0,0,0,0,Alaska,West,VT,Vermont,Northeast,682,76,28,17
3/26/2020,AK,3/19/2020,Mar-20,3/25/2020,63,52,1,1,0,0,Alaska,West,IL,Illinois,Midwest,2496,552,92,64
4/2/2020,AK,3/26/2020,Apr-20,4/1/2020,149,86,3,2,0,0,Alaska,West,IN,Indiana,Midwest,9087,1814,249,157
4/9/2020,AK,4/2/2020,Apr-20,4/8/2020,235,86,7,4,0,0,Alaska,West,IA,Iowa,Midwest,24129,6591,682,433
